Date,Last,Open,Max,Min,Volume, variation (%)
13.06.2022,8183.3,8312.9,8312.9,8159,266.91,-2.47
14.06.2022,8066.4,8229.2,8280.4,8066.4,175.61,-1.43
15.06.2022,8174.7,8201.2,8242.2,8097.7,194.1,1.34
16.06.2022,8078.1,8157.5,8172.1,8034.7,162.99,-1.18
17.06.2022,8145.9,8107.6,8236,8025.6,395.31,0.84
20.06.2022,8286,8180.4,8297,8159,143.71,1.72
21.06.2022,8235.6,8324.5,8361.4,8222.8,157.76,-0.61
22.06.2022,8145.4,8158.3,8193.4,8066.6,162.16,-1.1
23.06.2022,8106.4,8097.5,8172.9,8034.3,195.48,-0.48
24.06.2022,8244.1,8129.5,8262.3,8108.5,174.31,1.7
27.06.2022,8242.6,8266.1,8309.9,8185.5,132.6,-0.02
28.06.2022,8317.5,8292,8374.8,8278.6,127.86,0.91
29.06.2022,8188,8236.3,8262.9,8159,139.28,-1.56
30.06.2022,8098.7,8094.8,8117.2,7994.2,222.96,-1.09
01.07.2022,8176.1,8043,8206.9,8027.3,150.84,0.96
04.07.2022,8161.8,8226.2,8240.4,8161.8,117.45,-0.17
05.07.2022,7959.4,8191.2,8209.5,7959.4,193.25,-2.48
06.07.2022,7948.6,8040.5,8061.7,7939.7,249.44,-0.14
07.07.2022,8122.5,8026.6,8128.9,7998.6,200.24,2.19
08.07.2022,8100.3,8099,8137.9,8034.1,147.63,-0.27
11.07.2022,8065.2,7994.4,8099.8,7980.4,130.23,-0.43
12.07.2022,8014.8,8029,8071.3,7893.1,365.8,-0.62
13.07.2022,7944.9,7991.3,8002.6,7891.5,198.61,-0.87
14.07.2022,7804.3,7903.8,7922.2,7764.9,197.27,-1.77
15.07.2022,7945.9,7821.3,7969.3,7806.2,197.82,1.81
18.07.2022,7963.1,8004.7,8030.1,7926.8,156.06,0.22
19.07.2022,8125.1,7920.4,8161.2,7912.7,201.69,2.03
20.07.2022,8028.9,8156.8,8173.3,7989.6,176.08,-1.18
21.07.2022,8012.7,7981.6,8105.7,7970.3,218.62,-0.2
22.07.2022,8051.6,8009.4,8085.3,7999.3,181.05,0.49
25.07.2022,8085.6,8021.9,8103.4,8015.7,124.36,0.42
26.07.2022,8069.6,8063.1,8097,8033.5,129.25,-0.2
27.07.2022,8124.4,8106.5,8149.7,8054.2,147.9,0.68
28.07.2022,8084.9,8193.7,8196.4,7995.4,250.67,-0.49
